district,block,village,village_code
BANSWARA,SAJJANGARH 2,BANKA KHUNTA,071FB21277614698BB4735D5D
JHABUA,PETLAWAD 1,NARSINGHPURA,0734AE77A35E48E7ABFA11115
KHANDWA,JHIRNIYA,BHAVSINGHPURA,075045FC032249BDA48560081
CHITRAKOOT,MANJHANPUR,JAMDUHA,075F900C4E1C400A9AA1C84EF
SIDHI,SIDHI,CHHUHIYA,07628DD04BC64B04A26EA97A9
BARWANI,PATI,PAKHALYA,07706C984CF544C0B5A7E9E55
BHILWARA,JAHAJPUR,TALAB KA JHOPRA,077A289A9DE947F5BDD1D8409
DHAR,DHARAMPURI,JHAKRUD,077A4EC2A5C44975B2474FB81
UDAIPUR,GIRWA 1,BHEKADA,078C0F738DEA4CCB9C07F1B4A
BANSWARA,BANSWARA 1,SARVARPURA,079B631A7EAE483A95A88AA34
UDAIPUR,KOTRA 1,TARAVALA,079DBD7B303D4E98BCCAE5D2F
DHAR,KUKSHI,DHUKNI,07A0436E6ADA4C1CAF772ED88
BARWANI,SENDHWA 1,KAMOD CHA,07B81114D4684560B638A6885
DHAR,KUKSHI,BHATYARI,07C45C1CD8A5420683A2EC28A
BARWANI,PATI,KANDRA,07C9A1065BE049739AF030779
DHAR,TIRLA,RAIPURIA,07CBDC79FEED40B897A87D933
DHAR,NALCHHA-1,SILODABUJURG,07CCC9D60F1849C2863153510
KHANDWA,BADWAHA 2,AARSI,07D2E25A9B5D48FFB9FE4BA89
DHAR,NALCHHA-1,NAZIKBARODA,07D3D71C4BDC48398AD9FF746
UDAIPUR,GIRWA 1,GOVALA,07E582D13C074DD0B392FD973
JHALAWAR,DAG 2,SALARIYA3,0810DF29EBE5462E942469FC4
UDAIPUR,MAVLI,NP_FATEH_SAN WARD NO. 4,0811B6F027EA41AB8899617F7
